epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4386,1.97564,3.82498,7.08981,2.13052,0.002,0.35294,0.00448,0.00173,0.00067,0.11765,0.00104,0.00012,2.08331,4.49445,6.14285,2.48647,0.0919,0.0009,0.0009
2,24.9525,2.06158,3.09477,6.58534,2.09721,0.00267,0.47059,0.00674,0.00209,0,0,0,0,2.48629,3.10958,6.67826,2.68009,0.0828873,0.00188733,0.00188733
3,27.5253,1.62201,2.04268,5.60744,1.61483,0.003,0.52941,0.0082,0.00257,0,0,0,0,2.02611,2.51852,6.6736,2.35717,0.0738613,0.00286134,0.00286134
4,29.9951,1.67933,1.9643,5.41724,1.71054,0.00233,0.41176,0.00304,0.00154,0.00033,0.05882,0.00019,8e-05,1.91732,2.30285,6.33249,2.16558,0.064822,0.00382201,0.00382201
5,32.4569,1.45431,1.76103,4.88858,1.49623,0.00333,0.58824,0.04436,0.01727,0.002,0.35294,0.0165,0.00592,1.52569,2.10951,5.32358,1.80271,0.0557693,0.00476935,0.00476935
6,34.7659,1.4841,1.62465,4.482,1.64218,0.00367,0.64706,0.04542,0.01439,0.00133,0.23529,0.00525,0.00116,1.79854,2.42473,5.62447,2.14137,0.0467034,0.00570335,0.00570335
7,37.0196,1.54243,1.58688,4.65587,1.7741,0.00367,0.64706,0.05156,0.02596,0.00167,0.29412,0.01418,0.0066,1.89265,2.52795,4.30485,2.14364,0.037624,0.00662403,0.00662403
8,39.3265,1.51963,1.65277,4.11727,1.57212,0.00333,0.58824,0.06349,0.03179,0.00167,0.29412,0.02339,0.00845,1.91023,2.41047,3.64989,2.08479,0.0285314,0.00753137,0.00753137
9,41.6184,1.66267,1.54381,4.53469,1.64281,0.004,0.70588,0.04526,0.01805,0.001,0.17647,0.01377,0.00644,1.96164,2.96715,3.64873,2.22975,0.0194254,0.00842538,0.00842538
10,44.0323,1.60512,1.70487,3.95981,1.66973,0.22285,0.11765,0.20172,0.08097,0.36639,0.11765,0.12093,0.03134,1.86949,2.01619,3.52695,2.20686,0.0103061,0.00930606,0.00930606
11,46.3018,1.49938,1.50927,3.62974,1.46637,0.24,0.11765,0.06115,0.03166,0.28805,0.05882,0.03341,0.01451,1.90725,2.22073,3.76148,2.24163,0.0093334,0.0093334,0.0093334
12,48.5898,1.49277,1.43891,3.54643,1.58835,0.11175,0.35294,0.0994,0.03906,0.08581,0.23529,0.044,0.01514,1.91342,1.72581,4.17641,2.41085,0.00926674,0.00926674,0.00926674
13,50.8502,1.53507,1.55408,3.549,1.56734,0.17504,0.17647,0.14579,0.07472,0.23494,0.17647,0.12891,0.02431,1.98187,1.95254,3.55576,2.11235,0.00920008,0.00920008,0.00920008
14,53.2106,1.50474,1.53878,4.05454,1.54945,0.26713,0.35294,0.19147,0.05727,0.22261,0.29412,0.15205,0.03945,2.05222,1.9212,3.45278,2.16399,0.00913342,0.00913342,0.00913342
15,55.4068,1.61453,1.59389,3.58043,1.65059,0.33915,0.17647,0.10642,0.05219,0.3516,0.11765,0.06048,0.02853,2.16813,2.36673,3.73534,2.23284,0.00906676,0.00906676,0.00906676
16,57.6709,1.57353,1.58719,3.23812,1.6072,0.60795,0.11765,0.15231,0.09066,0.60795,0.11765,0.14646,0.05948,2.19308,2.17996,3.81438,2.12559,0.0090001,0.0090001,0.0090001
17,59.9129,1.58063,1.54275,3.21504,1.62848,0.21361,0.29412,0.19906,0.10594,0.22176,0.21863,0.12697,0.05872,2.24791,2.06993,3.37674,2.20527,0.00893344,0.00893344,0.00893344
18,62.1631,1.53037,1.54896,3.2621,1.5783,0.2919,0.35294,0.20376,0.09895,0.87395,0.05882,0.07724,0.03518,2.05858,2.16764,3.4243,2.04699,0.00886678,0.00886678,0.00886678
19,64.4983,1.5232,1.42341,3.23106,1.55272,0.21001,0.35294,0.18181,0.08646,0.20959,0.23529,0.15449,0.06815,2.21085,1.99776,4.14257,2.35482,0.00880012,0.00880012,0.00880012
20,66.6897,1.42663,1.35725,3.01813,1.53306,0.2265,0.35294,0.20138,0.09062,0.2265,0.35294,0.13273,0.0634,1.87614,2.03923,4.18009,1.97818,0.00873346,0.00873346,0.00873346
21,68.8676,1.51788,1.41644,3.02512,1.60325,0.22251,0.29412,0.17465,0.10168,0.24257,0.47059,0.17318,0.07379,1.91312,2.3987,3.60577,2.12735,0.0086668,0.0086668,0.0086668
22,71.1837,1.47974,1.37792,2.70893,1.479,0.66106,0.11765,0.15134,0.06396,0.66106,0.11765,0.12225,0.06989,2.06744,2.34218,3.56196,2.14747,0.00860014,0.00860014,0.00860014
23,73.3846,1.48206,1.38316,2.83215,1.53603,0.36221,0.23529,0.18868,0.12471,0.36221,0.23529,0.14943,0.0582,1.56392,2.00533,3.24247,1.89155,0.00853348,0.00853348,0.00853348
24,75.6409,1.52851,1.39156,2.83121,1.57176,0.23584,0.47059,0.16911,0.07337,0.26564,0.52941,0.20239,0.0792,1.58825,1.45542,4.72139,1.87744,0.00846682,0.00846682,0.00846682
